Día,Ejercicio,Series,Peso,Repeticiones sug.,Repeticiones actuales,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,estado,progreso_S2_vs_S1
Día 1,Press en máquina o barra guiada (plano),2,60.0,20,18,12,,,,,Pendiente,
Día 1,Press inclinado en máquina o mancuernas,2,60.0,20,20,10,,,,,Completado,
Día 1,Cruces en polea baja (apertura tipo banca),2,20.0,20,19,12,,,,,Pendiente,
Día 1,peck deck,2,85.0,20,15,11,,,,,Pendiente,
Día 1,Jalones en cuerda para tríceps,2,40.0,20,14,14,,,,,Pendiente,
Día 1,Press francés con barra Z,2,40.0,20,16,15,,,,,Pendiente,
Día 2,Dominadas asistidas o jalón al pecho,2,70.0,20,20,14,,,,,Completado,
Día 2,Remo con barra prono cerrado (barra guiada),2,66.0,20,18,11,,,,,Pendiente,
Día 2,Remo en triángulo,2,30.0,20,20,10,,,,,Completado,
Día 2,Curl con barra Z,2,50.0,20,18,13,,,,,Pendiente,
Día 2,Curl inclinado con mancuernas,2,22.0,20,15,11,,,,,Pendiente,
Día 3,extensión de cuádriceps,2,70.0,20,15,9,,,,,Pendiente,
Día 3,femoral acostado,2,30.0,20,18,10,,,,,Pendiente,
Día 3,Desplantes caminando,2,35.0,20,17,12,,,,,Pendiente,
Día 3,Prensa unilateral,2,90.0,20,20,11,,,,,Completado,
Día 3,Elevación de talones,2,44.0,20,14,10,,,,,Pendiente,
Día 3,Crunch con peso,2,55.0,20,20,14,,,,,Completado,
Día 3,Elevación de piernas colgado,2,,20,14,12,,,,,Pendiente,
Día 4,Press militar con mancuernas o en máquina,2,60.0,20,16,11,,,,,Pendiente,
Día 4,Curl barra Z,2,50.0,20,20,10,,,,,Completado,
Día 4,Elevaciones laterales,2,15.0,20,18,12,,,,,Pendiente,
Día 4,Extensión en cuerda para tríceps,2,60.0,20,20,12,,,,,Completado,
Día 4,Pájaros en banco inclinado,2,85.0,20,20,10,,,,,Completado,
Día 4,Curl en polea baja (agarre supino),2,60.0,20,20,10,,,,,Completado,
